,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202507010101,1,1,2,ルヴァンユニベール,牡3,57.0,高倉稜,0:1:54.8,nan,5.3,3.0,528,[西] 北出成人,1800,晴,ダート,良,2025年01月05日,未勝利,2022103941,01130
202507010101,2,5,10,リッター,牡3,57.0,松山弘平,0:1:55.1,1.1/2,3.2,2.0,518,[西] 大久保龍,1800,晴,ダート,良,2025年01月05日,未勝利,2022105741,01126
202507010101,3,2,4,チュウワチーフ,牡3,57.0,武豊,0:1:55.2,1/2,2.8,1.0,478,[西] 小崎憲,1800,晴,ダート,良,2025年01月05日,未勝利,2022110117,00666
202507010101,4,3,5,ザハント,牡3,57.0,坂井瑠星,0:1:56.3,7,5.6,4.0,494,[西] 田中克典,1800,晴,ダート,良,2025年01月05日,未勝利,2022102929,01163
202507010101,5,4,7,ミラクルブルー,牡3,57.0,鮫島克駿,0:1:56.4,クビ,18.3,6.0,482,[西] 小林真也,1800,晴,ダート,良,2025年01月05日,未勝利,2022103587,01157
202507010101,6,1,1,シャドーストライク,牡3,56.0,田口貫太,0:1:56.4,クビ,95.9,8.0,488,[西] 茶木太樹,1800,晴,ダート,良,2025年01月05日,未勝利,2022101273,01208
202507010101,7,6,11,ライジングショット,牡3,57.0,岩田望来,0:1:56.5,1/2,10.6,5.0,520,[西] 吉村圭司,1800,晴,ダート,良,2025年01月05日,未勝利,2022103202,01174
202507010101,8,7,13,スマートクラビ,牡3,55.0,吉村誠之,0:1:56.8,2,266.0,13.0,486,[西] 中村直也,1800,晴,ダート,良,2025年01月05日,未勝利,2022103946,01216
202507010101,9,3,6,チョウハチ,牡3,54.0,川端海翼,0:1:56.9,1/2,457.6,16.0,450,[西] 高橋一哉,1800,晴,ダート,良,2025年01月05日,未勝利,2022100897,01195
202507010101,10,4,8,ホワイトアッシュ,牡3,57.0,水口優也,0:1:57.2,1.1/2,314.3,15.0,494,[西] 宮地貴稔,1800,晴,ダート,良,2025年01月05日,未勝利,2022100882,01133
202507010101,11,8,16,アラック,セ3,56.0,小沢大仁,0:1:57.2,アタマ,154.3,12.0,448,[西] 小椋研介,1800,晴,ダート,良,2025年01月05日,未勝利,2022107369,01185
