クラス,血統,1着,2着,3着,着外
all,ジャスタウェイ,1,2,0,1
all,ホッコータルマエ,1,0,0,0
all,モーニン,1,0,0,0
all,リーチザクラウン,0,1,0,0
all,サトノダイヤモンド,0,0,1,2
all,タリスマニック Talismanic(英),0,0,1,1
all,フェノーメノ,0,0,1,0
all,Arrogate (米),0,0,0,1
all,アルアイン,0,0,0,0
all,オルフェーヴル,0,0,0,1
all,キズナ,0,0,0,2
all,サンダースノー Thunder Snow(愛),0,0,0,1
all,ストロングリターン,0,0,0,1
all,スピルバーグ,0,0,0,1
all,トランセンド,0,0,0,1
all,ハーツクライ,0,0,0,1
all,ブリックスアンドモルタル Bricks and Mortar(米),0,0,0,1
all,ヘニーヒューズ Henny Hughes(米),0,0,0,1
all,ホークビル Hawkbill(米),0,0,0,2
all,マインドユアビスケッツ Mind Your Biscuits(米),0,0,0,1
all,レインボーライン,0,0,0,1
all,レッドファルクス,0,0,0,2
all,ロードカナロア,0,0,0,1
1勝クラス,ジャスタウェイ,1,0,0,1
1勝クラス,リーチザクラウン,0,1,0,0
1勝クラス,フェノーメノ,0,0,1,0
1勝クラス,Arrogate (米),0,0,0,1
1勝クラス,オルフェーヴル,0,0,0,1
1勝クラス,スピルバーグ,0,0,0,1
1勝クラス,トランセンド,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,1
1勝クラス,ヘニーヒューズ Henny Hughes(米),0,0,0,1
未勝利,ホッコータルマエ,1,0,0,0
未勝利,モーニン,1,0,0,0
未勝利,ジャスタウェイ,0,2,0,0
未勝利,サトノダイヤモンド,0,0,1,2
未勝利,タリスマニック Talismanic(英),0,0,1,1
未勝利,アルアイン,0,0,0,0
未勝利,オルフェーヴル,0,0,0,0
未勝利,キズナ,0,0,0,2
未勝利,サンダースノー Thunder Snow(愛),0,0,0,1
未勝利,ストロングリターン,0,0,0,1
未勝利,ブリックスアンドモルタル Bricks and Mortar(米),0,0,0,1
未勝利,ホークビル Hawkbill(米),0,0,0,2
未勝利,マインドユアビスケッツ Mind Your Biscuits(米),0,0,0,1
未勝利,レインボーライン,0,0,0,1
未勝利,レッドファルクス,0,0,0,2
未勝利,ロードカナロア,0,0,0,1
