クラス,血統,1着,2着,3着,着外
all,エピファネイア,1,0,0,2
all,ゴールドシップ,1,0,0,1
all,キタサンブラック,0,1,1,1
all,サートゥルナーリア,0,1,0,0
all,キズナ,0,0,1,0
all,Dawn Approach  (愛),0,0,0,1
all,Frankel,0,0,0,1
all,コントレイル,0,0,0,2
all,サトノダイヤモンド,0,0,0,1
all,シスキン  Siskin(米),0,0,0,1
all,シャンハイボビー  Shanghai Bobby(米),0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,フィエールマン,0,0,0,1
all,ブリックスアンドモルタル Bricks and Mortar(米),0,0,0,1
all,ヤマカツエース,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,リオンディーズ,0,0,0,1
all,リオンリオン,0,0,0,1
all,ルーラーシップ,0,0,0,2
2勝クラス,ゴールドシップ,1,0,0,0
2勝クラス,サートゥルナーリア,0,1,0,0
2勝クラス,キズナ,0,0,1,0
2勝クラス,Frankel,0,0,0,1
2勝クラス,エピファネイア,0,0,0,2
2勝クラス,ドゥラメンテ,0,0,0,1
2勝クラス,ブリックスアンドモルタル Bricks and Mortar(米),0,0,0,1
2勝クラス,ヤマカツエース,0,0,0,1
2勝クラス,ラブリーデイ,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,2
新馬,エピファネイア,1,0,0,0
新馬,キタサンブラック,0,1,1,1
新馬,Dawn Approach  (愛),0,0,0,1
新馬,コントレイル,0,0,0,2
新馬,ゴールドシップ,0,0,0,1
新馬,サトノダイヤモンド,0,0,0,1
新馬,シスキン  Siskin(米),0,0,0,1
新馬,シャンハイボビー  Shanghai Bobby(米),0,0,0,1
新馬,フィエールマン,0,0,0,1
新馬,リオンディーズ,0,0,0,1
新馬,リオンリオン,0,0,0,1
