,0,1,2,3
202505010101,単勝,7,760,3
202505010101,複勝,7,330,5
202505010101,複勝,4,340,6
202505010101,複勝,10,1370,9
202505010101,枠連,2-4,680,2
202505010101,馬連,4-7,3170,12
202505010101,ワイド,4-7,920,13
202505010101,ワイド,7-10,5240,34
202505010101,ワイド,4-10,5530,35
202505010101,馬単,7→4,5540,22
202505010101,三連複,4-7-10,34660,75
202505010101,三連単,7→4→10,140330,353
202505010102,単勝,8,650,4
202505010102,複勝,8,190,4
202505010102,複勝,6,170,1
202505010102,複勝,5,190,3
202505010102,枠連,4-5,670,2
202505010102,馬連,6-8,1220,3
202505010102,ワイド,6-8,480,3
202505010102,ワイド,5-8,790,9
202505010102,ワイド,5-6,330,1
202505010102,馬単,8→6,2640,7
202505010102,三連複,5-6-8,2130,2
202505010102,三連単,8→6→5,15500,23
202505010103,単勝,1,1080,4
202505010103,複勝,1,420,6
202505010103,複勝,10,390,5
202505010103,複勝,9,4390,15
202505010103,枠連,1-5,2110,10
202505010103,馬連,1-10,8030,25
202505010103,ワイド,1-10,2330,24
202505010103,ワイド,1-9,30200,84
202505010103,ワイド,9-10,11410,62
202505010103,馬単,1→10,14840,47
202505010103,三連複,1-9-10,256170,251
202505010103,三連単,1→10→9,1470370,1388
202505010104,単勝,8,170,1
202505010104,複勝,8,110,1
202505010104,複勝,4,180,3
202505010104,複勝,2,400,8
202505010104,枠連,4-6,720,3
202505010104,馬連,4-8,740,2
202505010104,ワイド,4-8,310,2
202505010104,ワイド,2-8,860,10
202505010104,ワイド,2-4,1620,20
202505010104,馬単,8→4,930,3
202505010104,三連複,2-4-8,4580,12
202505010104,三連単,8→4→2,8340,23
202505010105,単勝,8,420,2
202505010105,複勝,8,150,2
202505010105,複勝,15,130,1
202505010105,複勝,7,210,5
202505010105,枠連,4-8,400,1
202505010105,馬連,8-15,640,2
202505010105,ワイド,8-15,350,2
202505010105,ワイド,7-8,630,8
202505010105,ワイド,7-15,560,5
202505010105,馬単,8→15,1450,3
202505010105,三連複,7-8-15,2080,4
202505010105,三連単,8→15→7,9480,17
202505010106,単勝,4,1210,6
202505010106,複勝,4,320,6
202505010106,複勝,12,170,2
202505010106,複勝,7,410,7
202505010106,枠連,2-6,1280,5
202505010106,馬連,4-12,2940,12
202505010106,ワイド,4-12,940,11
202505010106,ワイド,4-7,2760,29
202505010106,ワイド,7-12,1190,16
202505010106,馬単,4→12,8210,33
202505010106,三連複,4-7-12,14840,49
202505010106,三連単,4→12→7,113850,347
202505010107,単勝,8,350,1
202505010107,複勝,8,160,2
202505010107,複勝,14,220,5
202505010107,枠連,2-4,1100,4
202505010107,馬連,4-8,950,1
202505010107,ワイド,4-8,420,2
202505010107,ワイド,8-14,650,9
202505010107,ワイド,4-14,610,7
202505010107,馬単,8→4,1640,1
202505010107,三連複,4-8-14,2150,5
202505010107,三連単,8→4→14,9530,11
202505010108,単勝,11,690,2
202505010108,複勝,11,410,3
202505010108,複勝,10,470,5
202505010108,複勝,7,690,7
202505010108,枠連,8-8,1870,7
202505010108,馬連,10-11,1980,7
202505010108,ワイド,10-11,720,7
202505010108,ワイド,7-11,1020,11
202505010108,ワイド,7-10,1370,17
202505010108,馬単,11→10,4830,16
202505010108,三連複,7-10-11,7450,27
202505010108,三連単,11→10→7,36080,124
202505010109,単勝,8,810,5
202505010109,複勝,8,240,4
202505010109,複勝,6,160,1
202505010109,複勝,16,210,3
202505010109,枠連,3-4,950,3
202505010109,馬連,6-8,1560,3
202505010109,ワイド,6-8,600,2
202505010109,ワイド,8-16,920,9
202505010109,ワイド,6-16,610,3
202505010109,馬単,8→6,3890,10
202505010109,三連複,6-8-16,3890,5
202505010109,三連単,8→6→16,27460,55
202505010110,単勝,3,450,3
202505010110,複勝,3,180,3
202505010110,複勝,2,160,2
202505010110,馬連,2-3,420,2
202505010110,ワイド,2-3,150,2
202505010110,ワイド,1-3,180,3
202505010110,ワイド,1-2,130,1
202505010110,馬単,3→2,990,5
202505010110,三連複,1-2-3,290,1
202505010110,三連単,3→2→1,2610,9
202505010111,単勝,5,550,2
202505010111,複勝,5,280,5
202505010111,複勝,6,210,2
202505010111,複勝,3,330,7
202505010111,枠連,4-5,1060,4
202505010111,馬連,5-6,2470,11
202505010111,ワイド,5-6,1070,13
202505010111,ワイド,3-5,1840,22
202505010111,ワイド,3-6,1180,15
202505010111,馬単,5→6,4000,13
202505010111,三連複,3-5-6,11060,41
202505010111,三連単,5→6→3,45020,167
202505010112,単勝,2,5240,8
202505010112,複勝,2,530,8
202505010112,複勝,7,150,2
202505010112,枠連,1-4,410,1
202505010112,馬連,2-8,3830,10
202505010112,ワイド,2-8,1050,13
202505010112,ワイド,2-7,2160,24
202505010112,ワイド,7-8,220,1
202505010112,馬単,2→8,13570,35
202505010112,三連複,2-7-8,5070,16
202505010112,三連単,2→8→7,75540,196
202505010201,単勝,2,1330,5
202505010201,複勝,2,180,4
202505010201,複勝,16,110,1
202505010201,複勝,10,120,2
202505010201,枠連,1-8,1540,5
202505010201,馬連,2-16,1650,5
202505010201,ワイド,2-16,420,5
202505010201,ワイド,2-10,520,6
202505010201,ワイド,10-16,150,1
202505010201,馬単,2→16,5140,16
202505010201,三連複,2-10-16,1100,3
202505010201,三連単,2→16→10,13430,38
202505010202,単勝,9,330,1
202505010202,複勝,9,130,1
202505010202,複勝,14,200,3
202505010202,複勝,1,150,2
202505010202,枠連,6-8,630,1
202505010202,馬連,9-14,1470,4
202505010202,ワイド,9-14,540,3
202505010202,ワイド,1-9,340,1
202505010202,ワイド,1-14,750,7
202505010202,馬単,9→14,2720,6
202505010202,三連複,1-9-14,2310,3
202505010202,三連単,9→14→1,10820,12
202505010203,単勝,10,540,3
202505010203,複勝,10,210,3
202505010203,複勝,11,170,2
202505010203,複勝,9,390,8
202505010203,枠連,5-6,930,3
202505010203,馬連,10-11,1450,3
202505010203,ワイド,10-11,600,3
202505010203,ワイド,9-10,1090,15
202505010203,ワイド,9-11,1200,17
202505010203,馬単,10→11,2660,6
202505010203,三連複,9-10-11,5300,16
202505010203,三連単,10→11→9,26130,73
202505010204,単勝,1,930,3
202505010204,複勝,1,270,4
202505010204,複勝,9,140,1
202505010204,複勝,8,590,9
202505010204,枠連,1-5,1060,3
202505010204,馬連,1-9,1150,2
202505010204,ワイド,1-9,600,2
202505010204,ワイド,1-8,5680,53
202505010204,ワイド,8-9,1510,15
202505010204,馬単,1→9,3240,9
202505010204,三連複,1-8-9,13840,43
202505010204,三連単,1→9→8,62490,188
202505010205,単勝,13,270,1
202505010205,複勝,13,120,1
202505010205,複勝,8,150,3
202505010205,複勝,12,130,2
202505010205,枠連,5-7,290,1
202505010205,馬連,8-13,800,2
202505010205,ワイド,8-13,320,2
202505010205,ワイド,12-13,240,1
202505010205,ワイド,8-12,350,3
202505010205,馬単,13→8,1430,3
202505010205,三連複,8-12-13,810,1
202505010205,三連単,13→8→12,3650,2
202505010206,単勝,6,340,2
202505010206,複勝,6,170,2
202505010206,複勝,3,410,6
202505010206,複勝,13,930,9
202505010206,枠連,2-3,1770,4
202505010206,馬連,3-6,2490,9
202505010206,ワイド,3-6,900,11
202505010206,ワイド,6-13,2970,21
202505010206,ワイド,3-13,6310,47
202505010206,馬単,6→3,2990,9
202505010206,三連複,3-6-13,22730,60
202505010206,三連単,6→3→13,53170,147
202505010207,単勝,12,310,2
202505010207,複勝,14,300,6
202505010207,枠連,5-6,290,1
202505010207,馬連,9-12,460,1
202505010207,ワイド,9-12,240,1
202505010207,ワイド,12-14,740,9
202505010207,ワイド,9-14,710,8
202505010207,馬単,12→9,1010,2
202505010207,三連複,9-12-14,2020,5
202505010207,三連単,12→9→14,6970,12
202505010208,単勝,13,280,1
202505010208,複勝,13,130,1
202505010208,複勝,5,250,5
202505010208,複勝,2,140,2
202505010208,枠連,3-7,1090,5
202505010208,馬連,5-13,2710,9
202505010208,ワイド,5-13,620,5
202505010208,ワイド,2-13,250,1
202505010208,ワイド,2-5,620,6
202505010208,馬単,13→5,4100,14
202505010208,三連複,2-5-13,2320,4
202505010208,三連単,13→5→2,14190,29
202505010209,単勝,11,300,1
202505010209,複勝,11,140,1
202505010209,複勝,6,150,2
202505010209,複勝,12,290,5
202505010209,枠連,5-7,480,1
202505010209,馬連,6-11,760,2
202505010209,ワイド,6-11,310,1
202505010209,ワイド,11-12,790,7
202505010209,ワイド,6-12,940,11
202505010209,馬単,11→6,1350,3
202505010209,三連複,6-11-12,3870,8
202505010209,三連単,11→6→12,12510,29
202505010210,単勝,1,350,2
202505010210,複勝,1,170,2
202505010210,複勝,10,280,5
202505010210,複勝,8,310,6
202505010210,枠連,1-8,1490,8
202505010210,馬連,1-10,2250,9
202505010210,ワイド,1-10,750,9
202505010210,ワイド,1-8,700,8
202505010210,ワイド,8-10,1450,19
202505010210,馬単,1→10,3330,15
202505010210,三連複,1-8-10,5740,20
202505010210,三連単,1→10→8,25170,87
202505010211,単勝,9,460,2
202505010211,複勝,9,190,2
202505010211,複勝,13,220,3
202505010211,複勝,11,460,6
202505010211,枠連,5-7,1240,5
202505010211,馬連,9-13,1470,4
202505010211,ワイド,9-13,600,4
202505010211,ワイド,9-11,1590,17
202505010211,ワイド,11-13,1570,16
202505010211,馬単,9→13,2550,6
202505010211,三連複,9-11-13,8070,30
202505010211,三連単,9→13→11,31220,92
202505010212,単勝,3,320,2
202505010212,複勝,3,130,3
202505010212,複勝,4,120,1
202505010212,複勝,1,120,2
202505010212,枠連,3-4,440,1
202505010212,馬連,3-4,460,1
202505010212,ワイド,3-4,210,3
202505010212,ワイド,1-3,200,1
202505010212,ワイド,1-4,210,2
202505010212,馬単,3→4,880,2
202505010212,三連複,1-3-4,380,1
202505010212,三連単,3→4→1,1810,2
