クラス,血統,1着,2着,3着,着外
all,オルフェーヴル,2,2,2,6
all,カジノドライヴ,2,1,2,4
all,キングカメハメハ,2,1,0,9
all,モーリス,2,0,0,4
all,パイロ Pyro(米),1,2,1,5
all,ジャスタウェイ,1,2,0,7
all,マジェスティックウォリアー Majestic Warrior(米),1,1,2,5
all,シニスターミニスター Sinister Minister(米),1,1,0,5
all,ダンカーク Dunkirk(米),1,1,0,4
all,ディープインパクト,1,1,0,7
all,ヘニーヒューズ Henny Hughes(米),1,1,0,8
all,エイシンフラッシュ,1,0,1,1
all,スクリーンヒーロー,1,0,1,1
all,ダイワメジャー,1,0,1,2
all,トゥザワールド,1,0,1,4
all,ハーツクライ,1,0,1,10
all,Lemon Drop Kid,1,0,0,1
all,Nyquist (米),1,0,0,0
all,Pivotal,1,0,0,0
all,Quality Road,1,0,0,0
all,アジアエクスプレス,1,0,0,2
all,カリフォルニアクローム California Chrome(米),1,0,0,0
all,シンボリクリスエス,1,0,0,1
all,ジョーカプチーノ,1,0,0,0
all,トーセンジョーダン,1,0,0,1
all,ネオユニヴァース,1,0,0,2
all,マツリダゴッホ,1,0,0,2
all,ロードカナロア,1,0,0,7
all,ヴァンセンヌ,1,0,0,0
all,アイルハヴアナザー I'll Have Another(米),0,3,0,7
all,クロフネ,0,2,1,4
all,ホッコータルマエ,0,2,0,4
all,リオンディーズ,0,2,0,6
all,ヴィクトワールピサ,0,2,0,4
all,ワークフォース Workforce(英),0,1,1,1
all,キタサンブラック,0,1,0,0
all,コパノリッキー,0,1,0,1
all,スマートファルコン,0,1,0,3
all,ハードスパン Hard Spun(米),0,1,0,0
all,ホワイトマズル White Muzzle(英),0,1,0,0
all,メイショウボーラー,0,1,0,5
all,ラニ,0,1,0,0
all,ロージズインメイ Roses in May(米),0,1,0,2
all,リアルスティール,0,0,2,4
all,American Pharoah (米),0,0,1,0
all,アポロケンタッキー,0,0,1,0
all,アーネストリー,0,0,1,1
all,ウインバリアシオン,0,0,1,0
all,キズナ,0,0,1,8
all,グランプリボス,0,0,1,2
all,ゴールドヘイロー,0,0,1,1
all,サトノクラウン,0,0,1,1
all,ストーミングホーム Storming Home(英),0,0,1,0
all,スピルバーグ,0,0,1,2
all,トーセンホマレボシ,0,0,1,2
all,ドゥラメンテ,0,0,1,4
all,ナダル Nadal(米),0,0,1,0
all,バトルプラン Battle Plan(米),0,0,1,2
all,ビッグアーサー,0,0,1,0
all,マンハッタンカフェ,0,0,1,2
all,ルーラーシップ,0,0,1,8
all,Arrogate (米),0,0,0,1
all,Constitution (米),0,0,0,1
all,Distorted Humor (米),0,0,0,1
all,Flatter,0,0,0,1
all,Frosted (米),0,0,0,1
all,Ghostzapper,0,0,0,1
all,Golden Horn (英),0,0,0,1
all,Into Mischief,0,0,0,1
all,Justify (米),0,0,0,1
all,Nathaniel (愛),0,0,0,1
all,Speightstown (米),0,0,0,1
all,Tonalist (米),0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アドマイヤマックス,0,0,0,1
all,アドマイヤマーズ,0,0,0,1
all,アドマイヤムーン,0,0,0,1
all,アドミラブル,0,0,0,1
all,アメリカンペイトリオット,0,0,0,1
all,アロマカフェ,0,0,0,1
all,アンライバルド,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エスケンデレヤ,0,0,0,1
all,エスポワールシチー,0,0,0,5
all,エピファネイア,0,0,0,1
all,エンパイアメーカー Empire Maker(米),0,0,0,3
all,オンファイア,0,0,0,1
all,カネヒキリ,0,0,0,3
all,カレンブラックヒル,0,0,0,1
all,キングヘイロー,0,0,0,2
all,キンシャサノキセキ,0,0,0,3
all,クリエイターII,0,0,0,2
all,ケイムホーム Came Home(米),0,0,0,1
all,ケープブランコ Cape Blanco(英),0,0,0,2
all,ゴールドアリュール,0,0,0,7
all,ゴールドシップ,0,0,0,4
all,ゴールドドリーム,0,0,0,1
all,サトノアラジン,0,0,0,3
all,サトノダイヤモンド,0,0,0,3
all,サムライハート,0,0,0,4
all,ザファクター,0,0,0,1
all,シャンハイボビー Shanghai Bobby(米),0,0,0,1
all,ジャングルポケット,0,0,0,2
all,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,1
all,スズカコーズウェイ,0,0,0,1
all,スズカマンボ,0,0,0,1
all,ステイゴールド,0,0,0,2
all,ストロングリターン,0,0,0,2
all,スパイキュール,0,0,0,1
all,セイントアレックス,0,0,0,1
all,ゼンノロブロイ,0,0,0,4
all,タイセイレジェンド,0,0,0,1
all,タイムパラドックス,0,0,0,2
all,タリスマニック Talismanic(英),0,0,0,2
all,タートルボウル Turtle Bowl(愛),0,0,0,1
all,ダノンレジェンド,0,0,0,2
all,テイエムオペラオー,0,0,0,1
all,ディスクリートキャット Discreet Cat(米),0,0,0,1
all,ディープブリランテ,0,0,0,4
all,ディーマジェスティ,0,0,0,1
all,デクラレーションオブウォー,0,0,0,4
all,トゥザグローリー,0,0,0,4
all,トランセンド,0,0,0,2
all,トーセンファントム,0,0,0,1
all,トーホウジャッカル,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ドレフォン Drefong(米),0,0,0,4
all,ニューイヤーズデイ,0,0,0,2
all,ノボジャック,0,0,0,1
all,ノヴェリスト Novellist(愛),0,0,0,4
all,ハービンジャー Harbinger(英),0,0,0,2
all,バゴ Bago(仏),0,0,0,2
all,バーディバーディ,0,0,0,1
all,パレスマリス,0,0,0,1
all,フェノーメノ,0,0,0,1
all,フリオーソ,0,0,0,3
all,ブラックタイド,0,0,0,5
all,プリサイスエンド Precise End(米),0,0,0,2
all,ベルシャザール,0,0,0,5
all,マクフィ,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,ミッキーグローリー,0,0,0,1
all,ミッキーロケット,0,0,0,1
all,メイショウサムソン,0,0,0,2
all,モンテロッソ Monterosso(英),0,0,0,4
all,ヤマニンセラフィム,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,リアルインパクト,0,0,0,3
all,リヤンドファミユ,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,ルヴァンスレーヴ,0,0,0,3
all,レッドスパーダ,0,0,0,2
all,ロードアルティマ,0,0,0,1
all,ローレルゲレイロ,0,0,0,1
all,ワイルドラッシュ Wild Rush(米),0,0,0,2
all,ワンダーアキュート,0,0,0,1
all,ワールドエース,0,0,0,2
all,ヴァーミリアン,0,0,0,1
未勝利,キングカメハメハ,1,1,0,6
未勝利,オルフェーヴル,1,0,1,2
未勝利,カジノドライヴ,1,0,1,2
未勝利,トゥザワールド,1,0,1,4
未勝利,Nyquist (米),1,0,0,0
未勝利,Pivotal,1,0,0,0
未勝利,カリフォルニアクローム California Chrome(米),1,0,0,0
未勝利,シニスターミニスター Sinister Minister(米),1,0,0,1
未勝利,シンボリクリスエス,1,0,0,1
未勝利,スクリーンヒーロー,1,0,0,1
未勝利,ディープインパクト,1,0,0,1
未勝利,ネオユニヴァース,1,0,0,1
未勝利,モーリス,1,0,0,1
未勝利,ロードカナロア,1,0,0,6
未勝利,ヴァンセンヌ,1,0,0,0
未勝利,アイルハヴアナザー I'll Have Another(米),0,2,0,3
未勝利,ジャスタウェイ,0,2,0,4
未勝利,リオンディーズ,0,2,0,5
未勝利,マジェスティックウォリアー Majestic Warrior(米),0,1,2,2
未勝利,ワークフォース Workforce(英),0,1,1,1
未勝利,キタサンブラック,0,1,0,0
未勝利,クロフネ,0,1,0,0
未勝利,コパノリッキー,0,1,0,1
未勝利,パイロ Pyro(米),0,1,0,1
未勝利,ホッコータルマエ,0,1,0,1
未勝利,ヴィクトワールピサ,0,1,0,4
未勝利,American Pharoah (米),0,0,1,0
未勝利,ウインバリアシオン,0,0,1,0
未勝利,エイシンフラッシュ,0,0,1,1
未勝利,キズナ,0,0,1,5
未勝利,サトノクラウン,0,0,1,1
未勝利,スピルバーグ,0,0,1,2
未勝利,ダイワメジャー,0,0,1,0
未勝利,ビッグアーサー,0,0,1,0
未勝利,ルーラーシップ,0,0,1,4
未勝利,Flatter,0,0,0,1
未勝利,Frosted (米),0,0,0,1
未勝利,Ghostzapper,0,0,0,1
未勝利,Golden Horn (英),0,0,0,1
未勝利,Lemon Drop Kid,0,0,0,1
未勝利,Nathaniel (愛),0,0,0,1
未勝利,Tonalist (米),0,0,0,1
未勝利,アジアエクスプレス,0,0,0,2
未勝利,アドミラブル,0,0,0,1
未勝利,アロマカフェ,0,0,0,1
未勝利,アンライバルド,0,0,0,1
未勝利,エスケンデレヤ,0,0,0,1
未勝利,エスポワールシチー,0,0,0,2
未勝利,カネヒキリ,0,0,0,1
未勝利,キングヘイロー,0,0,0,2
未勝利,クリエイターII,0,0,0,2
未勝利,グランプリボス,0,0,0,1
未勝利,ケープブランコ Cape Blanco(英),0,0,0,1
未勝利,ゴールドアリュール,0,0,0,2
未勝利,ゴールドシップ,0,0,0,3
未勝利,ゴールドヘイロー,0,0,0,1
未勝利,サトノアラジン,0,0,0,2
未勝利,サトノダイヤモンド,0,0,0,1
未勝利,サムライハート,0,0,0,1
未勝利,シャンハイボビー Shanghai Bobby(米),0,0,0,1
未勝利,スズカコーズウェイ,0,0,0,1
未勝利,ストロングリターン,0,0,0,2
未勝利,ゼンノロブロイ,0,0,0,1
未勝利,タイセイレジェンド,0,0,0,1
未勝利,タリスマニック Talismanic(英),0,0,0,1
未勝利,ダノンレジェンド,0,0,0,1
未勝利,ダンカーク Dunkirk(米),0,0,0,3
未勝利,テイエムオペラオー,0,0,0,1
未勝利,ディスクリートキャット Discreet Cat(米),0,0,0,1
未勝利,デクラレーションオブウォー,0,0,0,2
未勝利,トゥザグローリー,0,0,0,2
未勝利,トランセンド,0,0,0,1
未勝利,トーホウジャッカル,0,0,0,1
未勝利,ドゥラメンテ,0,0,0,4
未勝利,ドレフォン Drefong(米),0,0,0,1
未勝利,ニューイヤーズデイ,0,0,0,1
未勝利,ノボジャック,0,0,0,1
未勝利,ノヴェリスト Novellist(愛),0,0,0,4
未勝利,ハーツクライ,0,0,0,4
未勝利,ハービンジャー Harbinger(英),0,0,0,2
未勝利,バゴ Bago(仏),0,0,0,2
未勝利,バトルプラン Battle Plan(米),0,0,0,1
未勝利,フェノーメノ,0,0,0,1
未勝利,フリオーソ,0,0,0,3
未勝利,ブラックタイド,0,0,0,3
未勝利,プリサイスエンド Precise End(米),0,0,0,2
未勝利,ヘニーヒューズ Henny Hughes(米),0,0,0,3
未勝利,ベルシャザール,0,0,0,3
未勝利,マクフィ,0,0,0,1
未勝利,マツリダゴッホ,0,0,0,2
未勝利,マンハッタンカフェ,0,0,0,1
未勝利,ミッキーロケット,0,0,0,1
未勝利,メイショウサムソン,0,0,0,2
未勝利,メイショウボーラー,0,0,0,2
未勝利,モンテロッソ Monterosso(英),0,0,0,2
未勝利,リアルインパクト,0,0,0,1
未勝利,リアルスティール,0,0,0,1
未勝利,リヤンドファミユ,0,0,0,1
未勝利,リーチザクラウン,0,0,0,1
未勝利,レッドスパーダ,0,0,0,2
未勝利,ロードアルティマ,0,0,0,1
未勝利,ワンダーアキュート,0,0,0,1
未勝利,ワールドエース,0,0,0,2
1勝クラス,オルフェーヴル,1,2,1,3
1勝クラス,ハーツクライ,1,0,1,4
1勝クラス,Quality Road,1,0,0,0
1勝クラス,エイシンフラッシュ,1,0,0,0
1勝クラス,ジャスタウェイ,1,0,0,3
1勝クラス,ジョーカプチーノ,1,0,0,0
1勝クラス,ダイワメジャー,1,0,0,2
1勝クラス,トーセンジョーダン,1,0,0,1
1勝クラス,マジェスティックウォリアー Majestic Warrior(米),1,0,0,0
1勝クラス,マツリダゴッホ,1,0,0,0
1勝クラス,モーリス,1,0,0,2
1勝クラス,クロフネ,0,1,1,3
1勝クラス,シニスターミニスター Sinister Minister(米),0,1,0,2
1勝クラス,スマートファルコン,0,1,0,1
1勝クラス,ダンカーク Dunkirk(米),0,1,0,1
1勝クラス,ディープインパクト,0,1,0,4
1勝クラス,ハードスパン Hard Spun(米),0,1,0,0
1勝クラス,パイロ Pyro(米),0,1,0,0
1勝クラス,メイショウボーラー,0,1,0,2
1勝クラス,ロージズインメイ Roses in May(米),0,1,0,1
1勝クラス,アポロケンタッキー,0,0,1,0
1勝クラス,アーネストリー,0,0,1,1
1勝クラス,カジノドライヴ,0,0,1,1
1勝クラス,スクリーンヒーロー,0,0,1,0
1勝クラス,トーセンホマレボシ,0,0,1,1
1勝クラス,ドゥラメンテ,0,0,1,0
1勝クラス,マンハッタンカフェ,0,0,1,1
1勝クラス,リアルスティール,0,0,1,1
1勝クラス,Arrogate (米),0,0,0,1
1勝クラス,アイルハヴアナザー I'll Have Another(米),0,0,0,3
1勝クラス,アドマイヤムーン,0,0,0,1
1勝クラス,エイシンヒカリ,0,0,0,1
1勝クラス,エスポワールシチー,0,0,0,3
1勝クラス,エンパイアメーカー Empire Maker(米),0,0,0,2
1勝クラス,オンファイア,0,0,0,1
1勝クラス,カネヒキリ,0,0,0,2
1勝クラス,カレンブラックヒル,0,0,0,1
1勝クラス,キズナ,0,0,0,2
1勝クラス,キングカメハメハ,0,0,0,1
1勝クラス,キンシャサノキセキ,0,0,0,3
1勝クラス,グランプリボス,0,0,0,1
1勝クラス,ケープブランコ Cape Blanco(英),0,0,0,1
1勝クラス,ゴールドアリュール,0,0,0,3
1勝クラス,サトノアラジン,0,0,0,1
1勝クラス,サトノダイヤモンド,0,0,0,1
1勝クラス,サムライハート,0,0,0,3
1勝クラス,ジャングルポケット,0,0,0,1
1勝クラス,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,1
1勝クラス,ステイゴールド,0,0,0,2
1勝クラス,ゼンノロブロイ,0,0,0,2
1勝クラス,タイムパラドックス,0,0,0,1
1勝クラス,タリスマニック Talismanic(英),0,0,0,1
