クラス,血統,1着,2着,3着,着外
all,キタサンブラック,1,1,0,4
all,サトノダイヤモンド,1,0,0,3
all,ディープインパクト,1,0,0,0
all,モーリス,1,0,0,2
all,リオンディーズ,1,0,0,0
all,エピファネイア,0,1,0,4
all,ポエティックフレア,0,1,0,1
all,ルヴァンスレーヴ,0,1,0,0
all,ルーラーシップ,0,1,0,1
all,キズナ,0,0,2,0
all,Le Havre,0,0,1,0
all,アルアイン,0,0,1,2
all,スワーヴリチャード,0,0,1,2
all,American Pharoah,0,0,0,1
all,Frankel,0,0,0,1
all,インディチャンプ,0,0,0,1
all,ウォータービルド,0,0,0,1
all,コントレイル,0,0,0,2
all,サトノクラウン,0,0,0,1
all,サートゥルナーリア,0,0,0,4
all,シルバーステート,0,0,0,1
all,セイウンコウセイ,0,0,0,1
all,タリスマニック,0,0,0,1
all,ダノンバラード,0,0,0,2
all,ダノンプレミアム,0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,ドレフォン,0,0,0,2
all,ハービンジャー,0,0,0,1
all,フェノーメノ,0,0,0,1
all,マクフィ,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,レイデオロ,0,0,0,3
all,ロードカナロア,0,0,0,3
all,ワールドプレミア,0,0,0,1
1勝クラス,サトノダイヤモンド,1,0,0,0
1勝クラス,ルヴァンスレーヴ,0,1,0,0
1勝クラス,キズナ,0,0,1,0
1勝クラス,American Pharoah,0,0,0,1
1勝クラス,Frankel,0,0,0,1
1勝クラス,エピファネイア,0,0,0,1
1勝クラス,サトノクラウン,0,0,0,1
1勝クラス,サートゥルナーリア,0,0,0,1
1勝クラス,フェノーメノ,0,0,0,1
2勝クラス,ディープインパクト,1,0,0,0
2勝クラス,ルーラーシップ,0,1,0,0
2勝クラス,Le Havre,0,0,1,0
2勝クラス,アルアイン,0,0,0,1
2勝クラス,ウォータービルド,0,0,0,1
2勝クラス,エピファネイア,0,0,0,1
2勝クラス,シルバーステート,0,0,0,1
2勝クラス,ダノンバラード,0,0,0,2
2勝クラス,ドゥラメンテ,0,0,0,1
2勝クラス,ロードカナロア,0,0,0,1
オープン,モーリス,1,0,0,0
オープン,キタサンブラック,0,1,0,0
オープン,アルアイン,0,0,1,0
オープン,エピファネイア,0,0,0,1
オープン,コントレイル,0,0,0,1
オープン,サトノダイヤモンド,0,0,0,1
オープン,サートゥルナーリア,0,0,0,1
オープン,タリスマニック,0,0,0,1
オープン,ハービンジャー,0,0,0,1
新馬,リオンディーズ,1,0,0,0
新馬,エピファネイア,0,1,0,1
新馬,スワーヴリチャード,0,0,1,2
新馬,アルアイン,0,0,0,1
新馬,キタサンブラック,0,0,0,2
新馬,サトノダイヤモンド,0,0,0,1
新馬,ダノンプレミアム,0,0,0,1
新馬,ドレフォン,0,0,0,1
新馬,マクフィ,0,0,0,1
新馬,モーリス,0,0,0,1
新馬,ルーラーシップ,0,0,0,1
新馬,レイデオロ,0,0,0,1
新馬,ロードカナロア,0,0,0,1
新馬,ワールドプレミア,0,0,0,1
未勝利,キタサンブラック,1,0,0,2
未勝利,ポエティックフレア,0,1,0,1
未勝利,キズナ,0,0,1,0
未勝利,インディチャンプ,0,0,0,1
未勝利,コントレイル,0,0,0,1
未勝利,サトノダイヤモンド,0,0,0,1
未勝利,サートゥルナーリア,0,0,0,2
未勝利,セイウンコウセイ,0,0,0,1
未勝利,ドレフォン,0,0,0,1
未勝利,ミッキーアイル,0,0,0,1
未勝利,モーリス,0,0,0,1
未勝利,レイデオロ,0,0,0,2
未勝利,ロードカナロア,0,0,0,1
