クラス,血統,1着,2着,3着,着外
all,キンシャサノキセキ,2,0,0,2
all,リアルインパクト,2,0,0,2
all,サトノクラウン,1,0,0,0
all,ロジャーバローズ,1,0,0,0
all,Catholic Boy,0,2,0,0
all,レイデオロ,0,2,0,2
all,ディープブリランテ,0,1,0,0
all,ヤマニンセラフィム,0,1,0,2
all,ネオユニヴァース,0,0,2,0
all,ビーチパトロール Beach Patrol(米),0,0,2,0
all,サトノダイヤモンド,0,0,1,0
all,ロードカナロア,0,0,1,2
all,Invincible Spirit (愛),0,0,0,1
all,エピファネイア,0,0,0,2
all,キズナ,0,0,0,4
all,ゴールドアリュール,0,0,0,1
all,シルバーステート,0,0,0,2
all,ストロングリターン,0,0,0,3
all,ゼンノロブロイ,0,0,0,1
all,ダイワメジャー,0,0,0,3
all,ナムラタイタン,0,0,0,1
all,ハーツクライ,0,0,0,1
all,ブリックスアンドモルタル Bricks and Mortar(米),0,0,0,2
all,マジェスティックウォリアー Majestic Warrior(米),0,0,0,1
all,モンテロッソ Monterosso(英),0,0,0,1
all,リーチザクラウン,0,0,0,4
all,ルーラーシップ,0,0,0,2
all,ロゴタイプ,0,0,0,2
all,ヴィクトワールピサ,0,0,0,2
オープン,サトノクラウン,1,0,0,0
オープン,ディープブリランテ,0,1,0,0
オープン,ロードカナロア,0,0,1,0
オープン,エピファネイア,0,0,0,1
オープン,ゴールドアリュール,0,0,0,1
オープン,ダイワメジャー,0,0,0,3
オープン,ルーラーシップ,0,0,0,2
未勝利,キンシャサノキセキ,2,0,0,2
未勝利,リアルインパクト,2,0,0,2
未勝利,ロジャーバローズ,1,0,0,0
未勝利,Catholic Boy,0,2,0,0
未勝利,レイデオロ,0,2,0,2
未勝利,ヤマニンセラフィム,0,1,0,2
未勝利,ネオユニヴァース,0,0,2,0
未勝利,ビーチパトロール Beach Patrol(米),0,0,2,0
未勝利,サトノダイヤモンド,0,0,1,0
未勝利,Invincible Spirit (愛),0,0,0,1
未勝利,エピファネイア,0,0,0,1
未勝利,キズナ,0,0,0,4
未勝利,シルバーステート,0,0,0,2
未勝利,ストロングリターン,0,0,0,3
未勝利,ゼンノロブロイ,0,0,0,1
未勝利,ナムラタイタン,0,0,0,1
未勝利,ハーツクライ,0,0,0,1
未勝利,ブリックスアンドモルタル Bricks and Mortar(米),0,0,0,2
未勝利,マジェスティックウォリアー Majestic Warrior(米),0,0,0,1
未勝利,モンテロッソ Monterosso(英),0,0,0,1
未勝利,リーチザクラウン,0,0,0,4
未勝利,ロゴタイプ,0,0,0,2
未勝利,ロードカナロア,0,0,0,2
未勝利,ヴィクトワールピサ,0,0,0,2
