,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2022/10/04,盛岡,小雨,8,B2,9,8,9,2.6,1.0,3,鈴木祐,56,ダ1200,良,1:15.3,0.5,2-2,0.0-38.4,38.8,501(-11),コーラル
1,2022/09/20,盛岡,曇,11,B2,10,7,9,5.5,3.0,8,鈴木祐,56,ダ1000,重,1:00.8,1.4,4-3,0.0-35.7,36.8,512(+12),ルチルクォーツ
2,2022/08/02,盛岡,雨,6,C2二組,8,6,6,,,取,鈴木祐,56,ダ1400,稍,,,,0.0-39.2,,計不,タンサンドール
3,2021/10/17,4東京4,雨,6,3歳以上1勝クラス,16,7,14,70.9,10.0,11,丸山元気,57,ダ1600,稍,1:39.1,2.1,3-2,34.4-37.1,39.0,500(0),サンキューレター
4,2021/09/25,4中山6,曇,7,3歳以上1勝クラス,16,4,7,26.8,10.0,14,武藤雅,57,ダ1800,良,1:56.6,3.1,2-2-2-6,37.5-39.0,42.0,500(-2),リンガスウォリアー
5,2021/07/11,1福島4,小雨,8,3歳以上1勝クラス,14,4,5,17.1,7.0,9,武藤雅,57,ダ1700,重,1:47.6,1.1,1-1-1-2,30.0-38.7,39.8,502(-28),トモジャリア
6,2021/05/23,水沢,曇,9,C1三組,11,3,3,1.3,1.0,1,陶文峰,56,ダ1600,不,1:41.5,-1.4,1-1-1-1,0.0-39.2,39.2,530(-1),(ネイチャーモルサム)
7,2021/04/27,水沢,晴,4,C2三組,9,3,3,1.0,1.0,1,陶文峰,56,ダ1400,良,1:31.5,-1.3,1-1-1-1,0.0-40.4,40.4,531(+7),(ボンテンマル)
8,2021/03/28,水沢,曇,2,C2八組,10,1,1,1.2,1.0,1,陶文峰,56,ダ1300,良,1:23.9,-1.4,1-1-1-1,0.0-39.2,39.2,524(+36),(ソウダチ)
9,2020/12/13,3中京4,曇,7,3歳以上1勝クラス,14,2,2,31.0,8.0,14,荻野極,56,ダ1900,良,2:03.2,1.3,1-1-1-1,30.6-37.6,38.9,488(-4),ドスハーツ
10,2020/12/05,3中京1,晴,7,3歳以上1勝クラス,13,7,11,16.5,6.0,6,川又賢治,56,ダ1800,良,1:55.8,0.8,7-6-7-7,38.9-37.4,37.7,492(-2),チェリートリトン
11,2020/11/07,3福島3,曇,9,3歳以上1勝クラス,14,7,11,19.4,9.0,10,丸田恭介,55,芝2000,良,2:01.5,1.4,3-3-5-4,34.1-36.6,37.0,494(+6),モズナガレボシ
12,2020/04/11,3中山5,晴,5,3歳未勝利,18,8,18,5.1,2.0,9,丸山元気,56,芝2000,良,2:02.1,1.2,5-5-5-3,36.2-35.7,35.9,488(-2),スレプトン
13,2019/12/21,5中山7,曇,5,2歳新馬,16,8,15,2.9,1.0,4,丸山元気,55,芝2000,良,2:04.7,0.7,7-7-3-4,37.9-35.4,35.9,490(0),ウインマリリン
