,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/07/27,2新潟1,曇,12,出雲崎特別(2勝クラス),15,6,10,8.0,5,8,坂井瑠星,58,ダ1200,良,1:11.8,0.9,4-4,34.2-36.7,37.3,504(+10),エランティス
1,2024/05/19,1新潟8,晴,10,火打山特別(2勝クラス),15,5,9,13.0,5,4,丹内祐次,58,ダ1200,良,1:11.7,0.6,6-6,33.6-37.5,37.1,494(-6),シラキヌ
2,2024/05/05,1新潟4,晴,12,4歳以上1勝クラス,13,4,4,4.5,3,1,佐々木大,57,ダ1200,良,1:12.8,-0.2,7-7,35.2-37.6,36.9,500(+2),(セキテイオー)
3,2024/02/25,1阪神2,小雨,12,4歳以上1勝クラス,15,7,13,8.6,4,7,松山弘平,58,ダ1200,不,1:11.9,0.9,8-10,34.6-36.4,36.3,498(0),サクハル
4,2023/12/16,5中山5,晴,12,3歳以上1勝クラス,16,4,7,4.1,1,9,武豊,57,ダ1200,稍,1:12.6,1.4,2-3,34.7-36.5,37.7,498(+4),ヤングワールド
5,2023/09/24,4中山7,晴,8,3歳以上1勝クラス,16,1,2,2.9,1,5,ルメール,56,ダ1200,稍,1:12.6,1.2,4-4,33.2-38.2,38.9,494(-2),トモジャミ
6,2023/08/12,3新潟1,晴,12,3歳以上1勝クラス,15,8,15,5.0,2,2,ルメール,56,ダ1200,良,1:11.7,0.6,3-3,34.6-36.5,36.7,496(-4),キュートヘスティア
7,2023/07/22,2福島7,晴,12,3歳以上1勝クラス,16,8,15,8.5,5,4,Ｍ．デム,55,ダ1150,良,1:09.2,0.9,10-8,30.8-37.5,37.2,500(+8),シアージスト
8,2023/05/06,2東京5,晴,7,3歳1勝クラス,16,2,3,53.6,12,15,北村宏司,56,芝1400,良,1:22.7,2.1,11-9,34.4-34.9,36.0,492(-4),リサリサ
9,2023/04/23,2東京2,晴,6,3歳1勝クラス,16,5,10,18.8,7,7,北村宏司,56,ダ1400,良,1:26.1,0.6,11-9,35.5-37.8,37.1,496(+10),ロードフォンス
10,2023/01/05,1中山1,晴,1,3歳未勝利,16,7,14,1.8,1,1,武豊,56,ダ1200,良,1:12.6,-0.3,5-5,33.7-38.9,38.1,486(-4),(ジェイケイファイン)
11,2022/12/17,5中山5,曇,1,2歳未勝利,16,5,10,2.3,2,2,ルメール,55,ダ1200,良,1:12.2,0.0,3-2,34.3-37.9,37.7,490(+4),アンビバレント
12,2022/11/27,5東京8,晴,1,2歳未勝利,16,4,7,5.2,3,3,Ｃ．デム,55,ダ1400,稍,1:25.6,0.4,9-9,34.8-38.0,37.3,486(-4),プラチナジュビリー
13,2022/09/04,2札幌8,晴,2,2歳未勝利,14,3,3,4.6,2,12,浜中俊,54,芝1500,良,1:32.3,2.2,6-4-5,29.8-36.7,38.4,490(+4),ショーモン
14,2022/07/24,1札幌2,曇,5,2歳新馬,9,2,2,2.4,2,7,武豊,54,芝1800,良,1:53.6,1.3,3-2-2-3,38.8-36.0,37.1,486(0),ドゥアイズ
