,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2021/11/15,金沢,曇,9,楽天競馬で金沢競馬を,8,4,4,52.7,4,7,中島龍也,54,ダ1500,重,1:38.2,2.8,6-5-5-6,0.0-37.4,39.5,477(+8),ブレイブブロッサム
1,2021/11/01,金沢,曇,8,楽天競馬はスマホでラ,10,4,4,9.2,4,9,中島龍也,54,ダ1500,良,1:39.2,1.4,7-7-7-7,0.0-40.0,40.5,469(-4),ウェルビーイング
2,2021/10/19,金沢,曇,8,B23,10,8,9,12.9,3,8,中島龍也,54,ダ1400,良,1:32.9,3.4,4-4-4-6,0.0-38.1,40.7,473(+2),デルマルビー
3,2021/10/04,金沢,晴,9,石川県畜産協会長賞,10,5,5,16.1,7,9,中島龍也,54,ダ1500,良,1:38.2,1.4,5-4-7-7,0.0-39.2,40.0,471(-1),オーミテンペスト
4,2021/09/22,金沢,雨,5,第6回九谷焼ロディ杯,8,6,6,19.9,4,4,中島龍也,54,ダ1500,不,1:36.1,0.6,1-1-1-2,0.0-38.1,38.7,472(-16),アレレブルー
5,2021/09/05,金沢,晴,9,楽天競馬で特産品キャ,6,4,4,2.8,2,6,中島龍也,54,ダ1500,稍,1:39.6,3.0,3-3-5-5,0.0-37.6,39.8,488(-6),リチェルカータ
6,2021/07/20,金沢,晴,6,C12,10,3,3,1.4,1,1,中島龍也,54,ダ1500,良,1:38.0,-0.8,3-3-2-1,0.0-40.3,39.3,494(+8),(ダヴィンチノチョウ)
7,2021/05/29,3中京7,晴,8,4歳以上1勝クラス,16,6,12,213.4,16,15,西村淳也,55,ダ1200,稍,1:13.3,2.1,12-11,34.0-37.2,37.8,486(0),フルールドネージュ
8,2021/05/09,2新潟2,曇,7,4歳以上1勝クラス,16,6,11,98.9,13,14,和田竜二,55,芝1200,良,1:12.3,1.6,5-5,34.4-36.3,37.5,486(0),サトノジヴェルニー
9,2021/02/27,2小倉5,曇,6,4歳以上1勝クラス,18,3,5,74.1,13,16,富田暁,54,芝1200,重,1:10.3,1.1,5-6,33.7-35.5,36.2,486(+1),ダノンシティ
10,2020/11/04,笠松,晴,4,好きです笠松競馬,7,2,2,1.1,1,1,筒井勇介,55,ダ1400,良,1:31.3,-1.5,1-1-1,0.0-40.4,40.4,485(-1),(ナカザルオー)
11,2020/10/21,笠松,晴,10,大菊特別,10,8,9,6.2,2,3,筒井勇介,54,ダ1400,良,1:30.4,1.7,3-3-2,0.0-38.1,39.6,486(+4),ルーラーザクイーン
12,2020/10/07,笠松,晴,3,サラ系C16組,8,1,1,1.2,1,1,筒井勇介,54,ダ1400,良,1:29.5,-1.4,1-1-1,0.0-39.0,39.0,482(0),(ミニマムーン)
13,2020/09/05,2小倉7,曇,4,3歳未勝利,18,3,6,9.2,4,9,国分優作,54,芝1200,良,1:09.1,0.4,6-5,33.2-35.5,35.1,482(-6),ホワイトロッジ
14,2020/08/30,2小倉6,晴,2,3歳未勝利,17,7,13,12.0,4,2,国分優作,54,芝1200,良,1:08.5,0.0,1-2,33.6-34.9,34.9,488(+10),メイショウゲンセン
15,2020/06/28,3阪神8,曇,1,3歳未勝利,16,4,8,12.3,4,14,国分優作,54,ダ1400,稍,1:28.9,3.4,1-1,34.9-38.2,41.6,478(-8),ポピュリズム
16,2020/05/30,3京都11,晴,3,3歳未勝利,17,8,18,92.5,15,7,国分優作,54,芝1400,良,1:22.0,0.6,1-1,34.3-35.5,36.1,486(+24),トーホウラデン
17,2019/09/01,2札幌6,晴,1,2歳未勝利,14,1,1,9.7,4,6,松岡正海,54,芝1500,良,1:32.5,0.8,3-4-6,30.2-36.8,37.3,462(+4),ベッラヴォルタ
18,2019/07/13,3中京5,小雨,5,2歳新馬,11,1,1,36.7,6,5,松若風馬,54,芝1600,稍,1:37.5,0.9,2-2-2,37.0-34.6,35.3,458(0),ギルデッドミラー
