,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2021/07/18,1函館6,晴,11,函館記念(GIII),16,7,13,22.1,9,13,大野拓弥,54,芝2000,良,2:00.2,1.5,16-16-15-14,34.4-36.0,35.8,448(-8),トーセンスーリヤ
1,2021/02/20,1東京7,晴,11,ダイヤモンドS(GIII),16,6,12,97.8,15,13,大野拓弥,54,芝3400,良,3:34.1,2.9,7-10-11-14,38.2-35.1,36.9,456(+2),グロンディオーズ
2,2021/01/17,1中京6,晴,11,日経新春杯(GII),16,6,12,84.3,12,8,大野拓弥,54,芝2200,良,2:12.6,0.8,10-10-9-7,35.3-35.7,35.9,454(+8),ショウリュウイクゾ
3,2020/11/15,3福島6,晴,11,福島記念(GIII),16,3,5,18.5,9,6,大野拓弥,54,芝2000,良,2:00.1,0.5,12-12-11-12,35.7-36.5,35.1,446(-4),バイオスパーク
4,2020/08/29,2札幌5,小雨,11,オホーツクS(3勝クラス),16,3,6,25.1,8,1,大野拓弥,57,芝2000,良,2:01.5,0.0,11-11-9-8,36.0-36.5,35.8,450(+2),(ドンアルゴス)
5,2020/07/11,2函館3,曇,11,五稜郭S(3勝クラス),9,6,6,41.8,9,2,大野拓弥,57,芝2000,良,2:01.1,0.0,7-7-6-4,37.0-35.2,34.6,448(+2),ナイママ
6,2020/05/10,2東京6,晴,9,緑風S(3勝クラス),16,8,15,67.3,12,14,原田和真,54,芝2400,良,2:25.5,1.7,9-10-10-10,37.2-34.8,35.1,446(+2),ゴールドギア
7,2020/04/19,1福島4,曇,12,奥の細道特別(2勝クラス),12,8,11,28.2,9,1,菅原明良,57,芝2600,重,2:44.4,-0.2,10-10-10-7,36.6-38.8,37.6,444(0),(ウインレーヴドール)
8,2020/02/01,1小倉5,晴,11,海の中道特別(2勝クラス),13,2,2,14.9,7,10,原田和真,57,芝2600,稍,2:46.1,2.8,9-9-11-9,36.6-37.3,39.0,444(+2),トーホウアルテミス
9,2020/01/19,1小倉2,曇,12,呼子特別(1勝クラス),14,3,4,13.6,7,1,原田和真,57,芝2600,重,2:43.6,0.0,12-12-2-2,37.1-38.5,38.2,442(-6),(ピエナアラシ)
10,2019/12/15,5中山6,晴,12,3歳以上1勝クラス,18,6,11,7.7,3,6,田辺裕信,57,芝2200,良,2:16.0,0.5,11-11-8-6,36.8-35.5,35.2,448(+10),マイネルステレール
11,2019/09/21,4中山6,曇,6,3歳以上1勝クラス,13,4,5,4.6,3,9,武豊,57,芝2200,良,2:15.4,0.6,11-11-11-10,38.5-34.6,34.2,438(0),ヴァイスブリッツ
12,2019/08/31,2札幌5,曇,8,3歳以上1勝クラス,16,4,7,2.8,1,3,ルメール,57,芝2000,稍,2:04.0,0.4,11-11-7-6,36.7-37.5,37.3,438(-2),ブラヴァス
13,2019/05/04,2東京5,晴,5,4歳以上500万下,7,7,7,1.6,1,6,田辺裕信,57,芝2400,良,2:30.4,1.5,3-3-3-4,38.9-34.2,35.4,440(-10),タンタフエルサ
14,2019/02/17,1東京8,晴,7,4歳以上500万下,14,8,13,8.0,5,2,武豊,56,芝2400,良,2:26.1,0.2,11-10-9-10,37.0-34.5,34.0,450(+12),カヴァル
15,2018/05/05,2東京5,晴,11,プリンシパルS(OP),14,4,5,30.6,9,6,北村宏司,56,芝2000,良,1:58.7,0.5,12-12-10,35.3-35.1,34.2,438(+2),コズミックフォース
16,2018/04/15,3中山8,曇,4,3歳未勝利,18,2,3,2.0,1,1,武豊,56,芝2200,稍,2:15.5,-0.3,12-12-8-6,36.1-36.1,35.4,436(-2),(アルビオリクス)
17,2018/02/12,1東京6,晴,4,3歳未勝利,16,2,3,10.9,6,2,吉田隼人,56,芝2400,良,2:30.2,0.0,11-12-12-14,38.4-35.3,34.5,438(-2),トラストケンシン
18,2018/01/21,1中山7,晴,5,3歳未勝利,16,3,6,8.7,4,2,吉田隼人,56,芝2200,良,2:16.4,0.3,10-10-12-10,37.8-36.3,35.8,440(0),マイネルキラメキ
19,2018/01/06,1中山1,晴,5,3歳未勝利,16,1,2,40.3,8,3,吉田隼人,56,芝2000,良,2:02.4,0.7,15-15-16-15,36.5-36.0,35.5,440(+4),クリッパー
20,2017/11/12,5東京4,晴,1,2歳未勝利,10,7,8,6.1,4,6,田辺裕信,55,芝2000,良,2:04.1,0.7,6-6-6,37.5-34.3,34.4,436(+2),タイプムーン
21,2017/10/22,4東京7,雨,2,2歳未勝利,11,8,10,8.7,6,4,北村宏司,55,芝2000,不,2:09.5,1.3,7-8-8,38.7-38.0,38.3,434(-2),カフジバンガード
22,2017/08/19,2新潟7,曇,5,2歳新馬,12,6,7,28.5,8,3,北村宏司,54,芝2000,良,2:04.4,0.4,6-6-5-6,37.6-35.2,35.1,436(0),ノーブルバルカン
