クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ Henny Hughes(米),2,2,1,9
all,オルフェーヴル,2,0,0,1
all,クロフネ,2,0,0,2
all,キンシャサノキセキ,1,2,0,6
all,ゴールドアリュール,1,0,2,9
all,Medaglia d'Oro,1,0,0,1
all,エンパイアメーカー Empire Maker(米),1,0,0,7
all,キモンノカシワ,1,0,0,0
all,ダンカーク Dunkirk(米),1,0,0,1
all,トビーズコーナー Toby's Corner(米),1,0,0,1
all,ヴァーミリアン,1,0,0,0
all,ディープインパクト,0,2,0,2
all,Flatter,0,1,0,0
all,アグネスデジタル,0,1,0,0
all,キズナ,0,1,0,0
all,スウェプトオーヴァーボード Swept Overboard(米),0,1,0,1
all,ベーカバド Behkabad(仏),0,1,0,2
all,マンハッタンカフェ,0,1,0,0
all,メイショウボーラー,0,1,0,1
all,ロードカナロア,0,1,0,2
all,ダノンシャンティ,0,0,2,1
all,カジノドライヴ,0,0,1,1
all,キングズベスト King's Best(米),0,0,1,0
all,サウスヴィグラス,0,0,1,3
all,ダイワメジャー,0,0,1,1
all,トーセンジョーダン,0,0,1,2
all,ハーツクライ,0,0,1,1
all,バトルプラン Battle Plan(米),0,0,1,1
all,パイロ Pyro(米),0,0,1,6
all,ブラックタイド,0,0,1,2
all,Pioneerof the Nile,0,0,0,1
all,Tiz Wonderful,0,0,0,1
all,アイルハヴアナザー I'll Have Another(米),0,0,0,4
all,アドマイヤコジーン,0,0,0,1
all,アドマイヤムーン,0,0,0,1
all,カネヒキリ,0,0,0,1
all,カレンブラックヒル,0,0,0,2
all,キングカメハメハ,0,0,0,5
all,キングヘイロー,0,0,0,1
all,グランプリボス,0,0,0,2
all,ケープブランコ Cape Blanco(英),0,0,0,2
all,ゴールドシップ,0,0,0,1
all,ゴールドヘイロー,0,0,0,1
all,サウンドボルケーノ,0,0,0,1
all,サダムパテック,0,0,0,1
all,サマーバード Summer Bird(米),0,0,0,1
all,サムライハート,0,0,0,2
all,シニスターミニスター Sinister Minister(米),0,0,0,4
all,ショウナンカンプ,0,0,0,4
all,シンボリクリスエス,0,0,0,2
all,ジャスタウェイ,0,0,0,2
all,ジャングルポケット,0,0,0,1
all,スクリーンヒーロー,0,0,0,3
all,ストリートセンス Street Sense(米),0,0,0,1
all,ストロングリターン,0,0,0,1
all,スマートファルコン,0,0,0,2
all,ゼンノロブロイ,0,0,0,1
all,タイキシャトル,0,0,0,1
all,タイムパラドックス,0,0,0,1
all,タニノギムレット,0,0,0,2
all,タートルボウル Turtle Bowl(愛),0,0,0,2
all,ダノンゴーゴー,0,0,0,1
all,ディスクリートキャット Discreet Cat(米),0,0,0,1
all,ディープスカイ,0,0,0,1
all,ディープブリランテ,0,0,0,1
all,トゥザグローリー,0,0,0,1
all,ネオユニヴァース,0,0,0,2
all,ノヴェリスト Novellist(愛),0,0,0,2
all,ハービンジャー Harbinger(英),0,0,0,2
all,ビービーガルダン,0,0,0,1
all,ファルブラヴ Falbrav(愛),0,0,0,1
all,ブライアンズタイム Brian's Time(米),0,0,0,1
all,プリサイスエンド Precise End(米),0,0,0,1
all,ベルシャザール,0,0,0,2
all,マツリダゴッホ,0,0,0,3
all,メイショウサムソン,0,0,0,3
all,モンテロッソ Monterosso(英),0,0,0,1
all,ヨハネスブルグ Johannesburg(米),0,0,0,3
all,リアルインパクト,0,0,0,1
all,ルーラーシップ,0,0,0,3
all,ローエングリン,0,0,0,1
all,ワイルドラッシュ Wild Rush(米),0,0,0,1
all,ワークフォース Workforce(英),0,0,0,1
all,ヴィクトワールピサ,0,0,0,2
1勝クラス,オルフェーヴル,1,0,0,0
1勝クラス,スウェプトオーヴァーボード Swept Overboard(米),0,1,0,0
1勝クラス,キングズベスト King's Best(米),0,0,1,0
1勝クラス,アイルハヴアナザー I'll Have Another(米),0,0,0,1
1勝クラス,エンパイアメーカー Empire Maker(米),0,0,0,1
1勝クラス,ゴールドアリュール,0,0,0,1
1勝クラス,ディープインパクト,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,1
1勝クラス,パイロ Pyro(米),0,0,0,1
1勝クラス,ブラックタイド,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,2
1勝クラス,ローエングリン,0,0,0,1
新馬,キモンノカシワ,1,0,0,0
新馬,ヘニーヒューズ Henny Hughes(米),1,0,0,3
新馬,キズナ,0,1,0,0
新馬,ロードカナロア,0,1,0,1
新馬,ゴールドアリュール,0,0,1,3
新馬,パイロ Pyro(米),0,0,1,2
新馬,アイルハヴアナザー I'll Have Another(米),0,0,0,1
新馬,アドマイヤムーン,0,0,0,1
新馬,エンパイアメーカー Empire Maker(米),0,0,0,1
新馬,オルフェーヴル,0,0,0,1
新馬,カレンブラックヒル,0,0,0,1
新馬,キングカメハメハ,0,0,0,2
新馬,キンシャサノキセキ,0,0,0,1
新馬,ケープブランコ Cape Blanco(英),0,0,0,2
新馬,サダムパテック,0,0,0,1
新馬,シニスターミニスター Sinister Minister(米),0,0,0,1
新馬,ジャスタウェイ,0,0,0,1
新馬,スクリーンヒーロー,0,0,0,2
新馬,タートルボウル Turtle Bowl(愛),0,0,0,1
新馬,リアルインパクト,0,0,0,1
未勝利,クロフネ,2,0,0,0
未勝利,ヘニーヒューズ Henny Hughes(米),1,1,0,4
未勝利,Medaglia d'Oro,1,0,0,0
未勝利,オルフェーヴル,1,0,0,0
未勝利,トビーズコーナー Toby's Corner(米),1,0,0,1
未勝利,Flatter,0,1,0,0
未勝利,キンシャサノキセキ,0,1,0,4
未勝利,ディープインパクト,0,1,0,0
未勝利,ベーカバド Behkabad(仏),0,1,0,2
未勝利,マンハッタンカフェ,0,1,0,0
未勝利,ゴールドアリュール,0,0,1,4
未勝利,ダノンシャンティ,0,0,1,1
未勝利,トーセンジョーダン,0,0,1,2
未勝利,ハーツクライ,0,0,1,0
未勝利,バトルプラン Battle Plan(米),0,0,1,1
未勝利,ブラックタイド,0,0,1,1
未勝利,Pioneerof the Nile,0,0,0,1
未勝利,アドマイヤムーン,0,0,0,0
未勝利,カジノドライヴ,0,0,0,1
未勝利,カネヒキリ,0,0,0,1
未勝利,カレンブラックヒル,0,0,0,1
未勝利,キングカメハメハ,0,0,0,2
未勝利,キングヘイロー,0,0,0,1
未勝利,グランプリボス,0,0,0,2
未勝利,ゴールドシップ,0,0,0,1
未勝利,サウンドボルケーノ,0,0,0,1
未勝利,サムライハート,0,0,0,1
未勝利,シニスターミニスター Sinister Minister(米),0,0,0,2
未勝利,ショウナンカンプ,0,0,0,3
未勝利,シンボリクリスエス,0,0,0,1
未勝利,ジャングルポケット,0,0,0,1
未勝利,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,1
未勝利,ストロングリターン,0,0,0,1
未勝利,スマートファルコン,0,0,0,2
未勝利,タニノギムレット,0,0,0,2
未勝利,タートルボウル Turtle Bowl(愛),0,0,0,1
未勝利,ダイワメジャー,0,0,0,1
未勝利,ダノンゴーゴー,0,0,0,1
未勝利,ダンカーク Dunkirk(米),0,0,0,1
未勝利,ディスクリートキャット Discreet Cat(米),0,0,0,1
未勝利,ディープブリランテ,0,0,0,1
未勝利,トゥザグローリー,0,0,0,1
未勝利,ノヴェリスト Novellist(愛),0,0,0,2
未勝利,ハービンジャー Harbinger(英),0,0,0,2
未勝利,パイロ Pyro(米),0,0,0,2
未勝利,ビービーガルダン,0,0,0,1
未勝利,プリサイスエンド Precise End(米),0,0,0,1
未勝利,ベルシャザール,0,0,0,2
未勝利,マツリダゴッホ,0,0,0,3
未勝利,メイショウサムソン,0,0,0,3
未勝利,モンテロッソ Monterosso(英),0,0,0,1
未勝利,ヨハネスブルグ Johannesburg(米),0,0,0,2
未勝利,ルーラーシップ,0,0,0,1
未勝利,ワークフォース Workforce(英),0,0,0,1
