index,着順,race_type,course_len,ground_state,class,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
202605010101,1,ダート,1400,良,未勝利,フィレンツェファイア,ミラクルクロス,Poseidon's Warrior,My Every Wish,フジキセキ,ロイヤルクロス,Speightstown,Poised to Pounce,Langfuhr,Mille Lacs,サンデーサイレンス,ミルレーサー,スリルショー,スタームーン,Gone West,Silken Cat,Smarten,Lady Lyndy,Danzig,Sweet Briar Too,Unbridled,With Every Wish,Halo,Wishing Well,Le Fabuleux,Marston's Mill,Northern Baby,Splendid Girl,シャトーゲイ,ブラックバトー,Mr. Prospector,Secrettame,Storm Cat,Silken Doll,Cyane,Smartaire,Bold Favorite,Counterflight,Northern Dancer,Pas de Nom,Briartic,Prima Babu Gum,Fappiano,Gana Facil,Lear Fan,Amo,Hail to Reason,Cosmah,Understanding,Mountain Flower,Wild Risk,Anguar,In Reality,Millicent,Northern Dancer,Two Rings,Golden Eagle,Coccinea,Swaps,Banquet Bell,ヒンドスタン,チエス
202605010101,2,ダート,1400,良,未勝利,ドレフォン,タンタラス,Gio Ponti,Eltimaas,キングカメハメハ,ブエナビスタ,Tale of the Cat,Chipeta Springs,Ghostzapper,Najecam,Kingmambo,マンファス,スペシャルウィーク,ビワハイジ,Storm Cat,Yarn,Alydar,Salt Spring,Awesome Again,Baby Zip,Trempolino,Sue Warner,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,サンデーサイレンス,キャンペンガール,Caerleon,アグサン,Storm Bird,Terlingua,Mr. Prospector,Narrate,Raise a Native,Sweet Tooth,Salt Marsh,Jungle Mythologic,Deputy Minister,Primal Force,Relaunch,Thirty Zip,Sharpen Up,Trephine,Forli,Bitty Girl,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Nijinsky,Foreseer,Lord Gayle,Santa Luciana
202605010101,3,ダート,1400,良,未勝利,ナダル,マラムデール,Blame,Ascending Angel,フレンチデピュティ,フサイチエアデール,Arch,Liable,Pulpit,Solar Colony,Deputy Minister,Mitterand,サンデーサイレンス,ラスティックベル,Kris S.,Aurora,Seeking the Gold,Bound,A.P. Indy,Preach,Pleasant Colony,Meteor Stage,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Halo,Wishing Well,Mr. Prospector,Ragtime Girl,Roberto,Sharp Queen,Danzig,Althea,Mr. Prospector,Con Game,Nijinsky,Special,Seattle Slew,Weekend Surprise,Mr. Prospector,Narrate,His Majesty,Sun Colony,Stage Door Johnny,Northern Meteor,Northern Dancer,Victoria Regina,Bunty's Flight,Shakney,Speak John,Blue Moon,Bold Ruler,Fortunate Isle,Hail to Reason,Cosmah,Understanding,Mountain Flower,Raise a Native,Gold Digger,Francis S.,Swinging Doll
202605010101,4,ダート,1400,良,未勝利,ニューイヤーズデイ,セレンディップ,Street Cry,Justwhistledixie,ダイワメジャー,オペラレディ,Machiavellian,Helen Street,Dixie Union,General Jeanne,サンデーサイレンス,スカーレットブーケ,オペラハウス,レディステラ,Mr. Prospector,Coup de Folie,Troy,Waterway,Dixieland Band,She's Tops,Honour and Glory,Ahpo Hel,Halo,Wishing Well,ノーザンテースト,スカーレットインク,Sadler's Wells,Colorspin,Crafty Prospector,Maggie J. Jones,Raise a Native,Gold Digger,Halo,Raise the Standard,Petingo,La Milo,Riverman,Boulevard,Northern Dancer,Mississippi Mud,Capote,She's a Talent,Relaunch,Fair to All,Mr. Leader,Tiy,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Crimson Satan,Consentida,Northern Dancer,Fairy Bridge,High Top,Reprocolor,Mr. Prospector,Real Crafty Lady,Angle Light,Two Bidders
202605010101,5,ダート,1400,良,未勝利,サンダースノー,シカゴテソーロ,Helmet,Eastern Joy,Maclean's Music,Toula,Exceed And Excel,Accessories,Dubai Destination,Red Slippers,Distorted Humor,Forest Music,Bold Executive,Escape Reality,デインヒル,Patrona,シングスピール,Anna Matrushka,Kingmambo,Mysterial,Nureyev,Morning Devotion,フォーティナイナー,Danzig's Beauty,Unbridled's Song,Defer West,Bold Ruckus,Arctic Vixen,Lear Fan,Miss Reality,Danzig,Razyana,Lomond,Gladiolus,In the Wings,Glorious Song,Mill Reef,Anna Paola,Mr. Prospector,Miesque,Alleged,Mysteries,Northern Dancer,Special,Affirmed,Morning Has Broken,Mr. Prospector,File,Danzig,Sweetest Chant,Unbridled,Trolley Song,Gone West,Defer,Boldnesian,Raise a Ruckus,Victoria Park,Arctic Fancy,Roberto,Wac,In Reality,In the Offing
202605010101,6,ダート,1400,良,未勝利,クリソベリル,シャルムダムール,ゴールドアリュール,クリソプレーズ,ディープインパクト,メダリアダムール,サンデーサイレンス,ニキーヤ,エルコンドルパサー,キャサリーンパー,サンデーサイレンス,ウインドインハーヘア,Medaglia d'Oro,Izara,Halo,Wishing Well,Nureyev,Reluctant Guest,Kingmambo,サドラーズギャル,Riverman,Regal Exception,Halo,Wishing Well,Alzao,Burghclere,El Prado,Cappucino Bay,ブラッシングジョン,Zalataia,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Special,Hostage,Vaguely Royal,Mr. Prospector,Miesque,Sadler's Wells,Glenveagh,Never Bend,River Lady,Ribot,Rajput Princess,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Sadler's Wells,Lady Capulet,Bailjumper,Dubbed In,Blushing Groom,La Griffe,ディクタス,Tapioquerie
202605010101,7,ダート,1400,良,未勝利,セイウンコウセイ,ニシノビアンカ,アドマイヤムーン,オブザーヴァント,クロフネ,リンガフランカ,エンドスウィープ,マイケイティーズ,Capote,パテントリークリア,フレンチデピュティ,ブルーアヴェニュー,サンデーサイレンス,フランクアーギュメント,フォーティナイナー,Broom Dance,サンデーサイレンス,ケイティーズファースト,Seattle Slew,Too Bald,Miswaki,Badge of Courage,Deputy Minister,Mitterand,Classic Go Go,Eliza Blue,Halo,Wishing Well,Argument,Franca,Mr. Prospector,File,Dance Spell,Witching Hour,Halo,Wishing Well,Kris,Katies,Bold Reasoning,My Charmer,Bald Eagle,Hidden Talent,Mr. Prospector,Hopespringseternal,Well Decorated,Tamerett,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Pago Pago,Classic Perfection,Icecapade,コレラ,Hail to Reason,Cosmah,Understanding,Mountain Flower,Kautokeino,Arantelle,ヴァイスリーガル,Tudor Gwen
202605010101,8,ダート,1400,良,未勝利,フィレンツェファイア,レッドブリエ,Poseidon's Warrior,My Every Wish,ディープインパクト,アルレシャ,Speightstown,Poised to Pounce,Langfuhr,Mille Lacs,サンデーサイレンス,ウインドインハーヘア,Marju,レーヴディマン,Gone West,Silken Cat,Smarten,Lady Lyndy,Danzig,Sweet Briar Too,Unbridled,With Every Wish,Halo,Wishing Well,Alzao,Burghclere,ラストタイクーン,Flame of Tara,Highest Honor,Numidie,Mr. Prospector,Secrettame,Storm Cat,Silken Doll,Cyane,Smartaire,Bold Favorite,Counterflight,Northern Dancer,Pas de Nom,Briartic,Prima Babu Gum,Fappiano,Gana Facil,Lear Fan,Amo,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,トライマイベスト,Mill Princess,アーテイアス,Welsh Flame,Kenmare,High River,バイアモン,Yamuna
202605010101,9,ダート,1400,良,未勝利,ルヴァンスレーヴ,スターインパルス,シンボリクリスエス,マエストラーレ,サウスヴィグラス,コパノジャーノー,Kris S.,Tee Kay,ネオユニヴァース,オータムブリーズ,エンドスウィープ,ダーケストスター,エリシオ,ステファーナ,Roberto,Sharp Queen,Gold Meridian,Tri Argo,サンデーサイレンス,ポインテッドパス,ティンバーカントリー,セプテンバーソング,フォーティナイナー,Broom Dance,Star de Naskra,Minnie Riperton,Fairy King,Helice,リアルシャダイ,ダイナコマネチ,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Halo,Wishing Well,Kris,Silken Way,Woodman,Fall Aspen,リアルシャダイ,ダイナフェアリー,Mr. Prospector,File,Dance Spell,Witching Hour,Naskra,Candle Star,Cornish Prince,English Harbor,Northern Dancer,Fairy Bridge,Slewpy,Hirondelle,Roberto,Desert Vixen,ノーザンテースト,シャダイリーズン
202605010101,10,ダート,1400,良,未勝利,Palace Pier,ミノレット,Kingman,Beach Frolic,Smart Strike,Silk And Scarlet,Invincible Spirit,Zenda,Nayef,Night Frolic,Mr. Prospector,Classy 'n Smart,Sadler's Wells,Danilova,Green Desert,Rafha,Zamindar,Hope,Gulch,Height of Fashion,Night Shift,Miss d'Ouilly,Raise a Native,Gold Digger,Smarten,No Class,Northern Dancer,Fairy Bridge,Lyphard,Ballinderry,Danzig,Foreign Courier,Kris,Eljazzi,Gone West,Zaizafon,ダンシングブレーヴ,Bahamian,Mr. Prospector,Jameela,Bustino,Highclere,Northern Dancer,Ciboulette,Bikala,Miss Satin,Native Dancer,Raise You,Nashua,Sequence,Cyane,Smartaire,Nodouble,Classy Quillo,Nearctic,Natalma,Bold Reason,Special,Northern Dancer,Goofed,Irish River,Miss Manon
202605010101,11,ダート,1400,良,未勝利,ヘニーヒューズ,オーパキャマラード,ヘネシー,Meadow Flyer,ダンカーク,クロワラモー,Storm Cat,Island Kitty,Meadowlake,Shortley,Unbridled's Song,Secret Status,スペシャルウィーク,メジェール,Storm Bird,Terlingua,Hawaii,T. C. Kitten,Hold Your Peace,Suspicious Native,Hagley,Short Winded,Unbridled,Trolley Song,A.P. Indy,Private Status,サンデーサイレンス,キャンペンガール,タバスコキャット,カスパースカイゴールド,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Utrillo,Ethane,Tom Cat,Needlebug,Speak John,Blue Moon,Raise a Native,Be Suspicious,Olden Times,Teo Pepi,Harvest Singing,Wild Cloud,Fappiano,Gana Facil,Caro,Lucky Spell,Seattle Slew,Weekend Surprise,Alydar,Miss Eva,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Storm Cat,Barbicue Sauce,Seeking the Gold,ビベ
202605010101,12,ダート,1400,良,未勝利,マクフィ,ヴェルデライト,Dubawi,Dhelaal,ディープインパクト,ネオンデライト,Dubai Millennium,Zomaradah,Green Desert,Irish Valley,サンデーサイレンス,ウインドインハーヘア,Gone West,Sparkling Delite,Seeking the Gold,Colorado Dancer,Deploy,Jawaher,Danzig,Foreign Courier,Irish River,Green Valley,Halo,Wishing Well,Alzao,Burghclere,Mr. Prospector,Secrettame,Vice Regent,Sparkling Topaz,Mr. Prospector,Con Game,Shareef Dancer,Fall Aspen,Shirley Heights,Slightly Dangerous,ダンシングブレーヴ,High Tern,Northern Dancer,Pas de Nom,Sir Ivor,Courtly Dee,Riverman,Irish Star,Val de Loir,Sly Pola,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Raise a Native,Gold Digger,Secretariat,Tamerett,Northern Dancer,Victoria Regina,Jacinto,Alotoffun
202605010101,13,ダート,1400,良,未勝利,ミッキーロケット,イリスファルコン,キングカメハメハ,マネーキャントバイミーラヴ,ダイワメジャー,ナナヨーティアラ,Kingmambo,マンファス,Pivotal,Sabreon,サンデーサイレンス,スカーレットブーケ,マイネルラヴ,ナナヨーストーム,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Polar Falcon,Fearless Revival,Caerleon,Sabria,Halo,Wishing Well,ノーザンテースト,スカーレットインク,Seeking the Gold,Heart of Joy,セレスティアルストーム,ナナヨーアトラス,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Nureyev,Marie d'Argonne,Cozzene,Stufida,Nijinsky,Foreseer,Miswaki,Flood,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Crimson Satan,Consentida,Mr. Prospector,Con Game,リィフォー,Mythographer,Roberto,Tobira Celeste,バンブーアトラス,ナナヨーモア
202605010101,14,ダート,1400,良,未勝利,ディーマジェスティ,アイアンプラスワン,ディープインパクト,エルメスティアラ,シンボリクリスエス,チアフル,サンデーサイレンス,ウインドインハーヘア,ブライアンズタイム,シンコウエルメス,Kris S.,Tee Kay,Caerleon,Kartajana,Halo,Wishing Well,Alzao,Burghclere,Roberto,Kelley's Day,Sadler's Wells,Doff the Derby,Roberto,Sharp Queen,Gold Meridian,Tri Argo,Nijinsky,Foreseer,Shernazar,Karamita,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Hail to Reason,Bramalea,Graustark,Golden Trail,Northern Dancer,Fairy Bridge,Master Derby,Margarethen,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Northern Dancer,Flaming Page,Round Table,Regal Gleam,Busted,Sharmeen,Shantung,Shahinaaz
202605010101,15,ダート,1400,良,未勝利,サトノダイヤモンド,ケンジントン,ディープインパクト,マルペンサ,Kitten's Joy,Rum Charger,サンデーサイレンス,ウインドインハーヘア,Orpen,Marsella,El Prado,Kitten's First,Spectrum,Park Charger,Halo,Wishing Well,Alzao,Burghclere,Lure,Bonita Francita,サザンヘイロー,Riviere,Sadler's Wells,Lady Capulet,Lear Fan,That's My Hon,Rainbow Quest,River Dancer,Tirol,Haitienne,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Danzig,Endear,Devil's Bag,Raise the Standard,Halo,Northern Sea,Logical,Talonada,Northern Dancer,Fairy Bridge,Sir Ivor,Cap and Bells,Roberto,Wac,L'Enjoleur,One Lane,Blushing Groom,I Will Follow,Irish River,Dancing Shadow,Thatching,Alpine Niece,Green Dancer,Hamada
202605010101,16,ダート,1400,良,未勝利,マインドユアビスケッツ,アイムオールレディセクシー,Posse,Jazzmane,Ready's Image,Klohho,Silver Deputy,Raska,Toccet,Alljazz,More Than Ready,Clever Phrase,Trempolino,Dintel,Deputy Minister,Silver Valley,Rahy,Borishka,Awesome Again,Cozzene's Angel,Stop the Music,Bounteous,サザンヘイロー,Woodman's Girl,Clever Trick,Turn a Phrase,Sharpen Up,Trephine,Bates Motel,Din Again,Vice Regent,Mint Copy,Mr. Prospector,Seven Valleys,Blushing Groom,Glorious Song,Roberto,Queen Maud,Deputy Minister,Primal Force,Cozzene,Charming Pan,Hail to Reason,Bebopper,Master Derby,Mlle. Quille,Halo,Northern Sea,Woodman,Becky Be Good,Icecapade,Kankakee Miss,Wavering Monarch,Turn n'See,エタン,Rocchetta,ヴァイスリーガル,Quiriquina,Sir Ivor,Sunday Purchase,Graustark,Patrina
202605010102,1,ダート,2100,良,1勝クラス,モーニン,モーニングテラス,ヘニーヒューズ,Giggly,ディープスカイ,ライステラス,ヘネシー,Meadow Flyer,Distorted Humor,Chaste,アグネスタキオン,アビ,ソングオブウインド,ファンタスティコ,Storm Cat,Island Kitty,Meadowlake,Shortley,フォーティナイナー,Danzig's Beauty,Cozzene,Purity,サンデーサイレンス,アグネスフローラ,Chief's Crown,Carmelized,エルコンドルパサー,メモリアルサマー,スピードワールド,スピードアイリス,Storm Bird,Terlingua,Hawaii,T. C. Kitten,Hold Your Peace,Suspicious Native,Hagley,Short Winded,Mr. Prospector,File,Danzig,Sweetest Chant,Caro,Ride the Trails,Fappiano,Dame Mysterieuse,Halo,Wishing Well,ロイヤルスキー,アグネスレディー,Danzig,Six Crowns,Key to the Mint,Carmelize,Kingmambo,サドラーズギャル,サンデーサイレンス,サマーワイン,Woodman,Gray Tab,ミスターシービー,ビューパーダンス
202605010102,2,ダート,2100,良,1勝クラス,エピファネイア,レディシビル,シンボリクリスエス,シーザリオ,Siyouni,Arsila,Kris S.,Tee Kay,スペシャルウィーク,キロフプリミエール,Pivotal,Sichilla,Tirol,Antakiya,Roberto,Sharp Queen,Gold Meridian,Tri Argo,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida,Polar Falcon,Fearless Revival,デインヒル,Slipstream Queen,Thatching,Alpine Niece,Ela-Mana-Mou,Aneyza,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Northern Dancer,Fairy Bridge,Habitat,Principia,Nureyev,Marie d'Argonne,Cozzene,Stufida,Danzig,Razyana,Conquistador Cielo,Country Queen,Thatch,Abella,Great Nephew,Fragrant Morn,ピットカーン,Rose Bertin,Blushing Groom,Anafa
