クラス,血統,1着,2着,3着,着外
all,ダイワメジャー,1,1,1,0
all,アドマイヤムーン,1,1,0,1
all,ディープインパクト,1,1,0,4
all,ステイゴールド,1,0,0,1
all,ダンスインザダーク,1,0,0,0
all,ブレイクランアウト,1,0,0,1
all,マンハッタンカフェ,1,0,0,1
all,Take Charge Indy (米),0,1,0,0
all,コンデュイット Conduit(愛),0,1,0,1
all,ネオユニヴァース,0,1,0,2
all,ルーラーシップ,0,1,0,2
all,Authorized,0,0,1,0
all,キングヘイロー,0,0,1,0
all,クロフネ,0,0,1,3
all,ケイムホーム Came Home(米),0,0,1,0
all,モンテロッソ Monterosso(英),0,0,1,2
all,リーチザクラウン,0,0,1,1
all,Congrats (米),0,0,0,1
all,Dawn Approach (愛),0,0,0,1
all,Stormy Atlantic,0,0,0,1
all,アイルハヴアナザー I'll Have Another(米),0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アサクサキングス,0,0,0,2
all,アポロキングダム,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,エンパイアメーカー Empire Maker(米),0,0,0,0
all,オペラハウス Opera House(英),0,0,0,1
all,キャプテントゥーレ,0,0,0,1
all,キングカメハメハ,0,0,0,1
all,キングズベスト King's Best(米),0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,サウスヴィグラス,0,0,0,1
all,サマーバード Summer Bird(米),0,0,0,1
all,シンボリクリスエス,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,スターリングローズ,0,0,0,1
all,ダノンシャンティ,0,0,0,1
all,ダンカーク Dunkirk(米),0,0,0,1
all,トビーズコーナー Toby's Corner(米),0,0,0,1
all,トランセンド,0,0,0,2
all,トーセンホマレボシ,0,0,0,1
all,トーセンラー,0,0,0,1
all,ナカヤマフェスタ,0,0,0,2
all,ハーツクライ,0,0,0,1
all,ハービンジャー Harbinger(英),0,0,0,1
all,パイロ Pyro(米),0,0,0,1
all,フレンチデピュティ French Deputy(米),0,0,0,1
all,ホワイトマズル White Muzzle(英),0,0,0,1
all,マツリダゴッホ,0,0,0,4
all,マーベラスサンデー,0,0,0,2
all,メイショウサムソン,0,0,0,1
all,メイショウボーラー,0,0,0,2
all,メジロダイボサツ,0,0,0,1
all,ヨハネスブルグ Johannesburg(米),0,0,0,2
all,ローズキングダム,0,0,0,1
all,ロードカナロア,0,0,0,2
all,ヴァーミリアン,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
オープン,ダイワメジャー,1,1,0,0
オープン,ケイムホーム Came Home(米),0,0,1,0
オープン,Stormy Atlantic,0,0,0,1
オープン,アイルハヴアナザー I'll Have Another(米),0,0,0,1
オープン,クロフネ,0,0,0,1
オープン,サウスヴィグラス,0,0,0,1
オープン,ステイゴールド,0,0,0,1
オープン,トランセンド,0,0,0,1
オープン,マツリダゴッホ,0,0,0,1
オープン,ルーラーシップ,0,0,0,1
未勝利,アドマイヤムーン,1,1,0,1
未勝利,ディープインパクト,1,1,0,4
未勝利,ステイゴールド,1,0,0,0
未勝利,ダンスインザダーク,1,0,0,0
未勝利,ブレイクランアウト,1,0,0,1
未勝利,マンハッタンカフェ,1,0,0,1
未勝利,Take Charge Indy (米),0,1,0,0
未勝利,コンデュイット Conduit(愛),0,1,0,1
未勝利,ネオユニヴァース,0,1,0,2
未勝利,ルーラーシップ,0,1,0,1
未勝利,Authorized,0,0,1,0
未勝利,キングヘイロー,0,0,1,0
未勝利,クロフネ,0,0,1,2
未勝利,ダイワメジャー,0,0,1,0
未勝利,モンテロッソ Monterosso(英),0,0,1,2
未勝利,リーチザクラウン,0,0,1,1
未勝利,Congrats (米),0,0,0,1
未勝利,Dawn Approach (愛),0,0,0,1
未勝利,アグネスデジタル,0,0,0,1
未勝利,アサクサキングス,0,0,0,2
未勝利,アポロキングダム,0,0,0,1
未勝利,エイシンフラッシュ,0,0,0,1
未勝利,エンパイアメーカー Empire Maker(米),0,0,0,0
未勝利,オペラハウス Opera House(英),0,0,0,1
未勝利,キャプテントゥーレ,0,0,0,1
未勝利,キングカメハメハ,0,0,0,1
未勝利,キングズベスト King's Best(米),0,0,0,1
未勝利,キンシャサノキセキ,0,0,0,1
未勝利,サマーバード Summer Bird(米),0,0,0,1
未勝利,シンボリクリスエス,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,1
未勝利,スターリングローズ,0,0,0,1
未勝利,ダノンシャンティ,0,0,0,1
未勝利,ダンカーク Dunkirk(米),0,0,0,1
未勝利,トビーズコーナー Toby's Corner(米),0,0,0,1
未勝利,トランセンド,0,0,0,1
未勝利,トーセンホマレボシ,0,0,0,1
未勝利,トーセンラー,0,0,0,1
未勝利,ナカヤマフェスタ,0,0,0,2
未勝利,ハーツクライ,0,0,0,1
未勝利,ハービンジャー Harbinger(英),0,0,0,1
未勝利,パイロ Pyro(米),0,0,0,1
未勝利,フレンチデピュティ French Deputy(米),0,0,0,1
未勝利,ホワイトマズル White Muzzle(英),0,0,0,1
未勝利,マツリダゴッホ,0,0,0,3
未勝利,マーベラスサンデー,0,0,0,2
未勝利,メイショウサムソン,0,0,0,1
未勝利,メイショウボーラー,0,0,0,2
未勝利,メジロダイボサツ,0,0,0,1
未勝利,ヨハネスブルグ Johannesburg(米),0,0,0,2
未勝利,ローズキングダム,0,0,0,1
未勝利,ロードカナロア,0,0,0,2
未勝利,ヴァーミリアン,0,0,0,1
未勝利,ヴィクトワールピサ,0,0,0,1
